name,birthArea,birthDate,foot,role,height,passportArea,weight
Andr\u00e9 Ramalho Silva,Brazil,1992-02-16,right,DF,182,Brazil,78
Tom\u00e1\u0161 Hubo\u010dan,Slovakia,1985-09-17,right,DF,184,Slovakia,70
Marc Muniesa Mart\u00ednez,Spain,1992-03-27,left,DF,179,Spain,72
Leonardo Capezzi,Italy,1995-03-28,right,MD,178,Italy,72
Lionel Andr\u00e9s Messi Cuccittini,Argentina,1987-06-24,left,FW,170,Spain,72
Alexis Ruano Delgado,Spain,1985-08-04,right,DF,183,Spain,75
Mehdi Carcela-Gonz\u00e1lez,Belgium,1989-07-01,left,MD,176,Morocco,67
Mehdi Lacen,France,1984-03-15,left,MD,176,Algeria,70
Jos\u00e9 Vicente G\u00f3mez Umpi\u00e9rrez,Spain,1988-08-31,left,MD,186,Spain,78
Luis Hern\u00e1ndez Rodr\u00edguez,Spain,1989-04-14,right,DF,183,Spain,75
J\u00e1n \u010eurica,Slovakia,1981-12-10,left,DF,188,Slovakia,86
Gareth Frank Bale,Wales,1989-07-16,left,FW,185,Wales,81
John Stones,England,1994-05-28,right,DF,188,England,75
Bertrand Isidore Traor\u00e9,Burkina Faso,1995-09-06,left,FW,181,Burkina Faso,73
Amr Medhat Warda,Egypt,1993-09-17,right,MD,176,Egypt,70
Ronaldo  Aparecido Rodrigues,Brazil,1982-09-10,right,DF,198,Germany,91
\u00c1d\u00e1m Szalai,Hungary,1987-12-09,right,FW,193,Hungary,90
Sebastian Maier,Germany,1993-09-18,right,MD,179,Germany,68
Benjamin H\u00fcbner,Germany,1989-07-04,left,DF,193,Germany,86
Jan Mor\u00e1vek,Czech Republic,1989-11-01,right,MD,180,Czech Republic,77
Christian Guillermo Mart\u00edn Ramos Garagay,Peru,1988-11-04,right,DF,185,Peru,74
Caiuby Francisco da Silva,Brazil,1988-07-14,left,MD,184,Brazil,85
Samuel Bastien,Belgium,1996-09-26,right,MD,177,Belgium,73
Stefano Sensi,Italy,1995-08-05,right,MD,168,Italy,62
M\u00e1rio Figueira Fernandes,Brazil,1990-09-19,right,DF,187,Russia,80
Hans Carl Ludwig Augustinsson,Sweden,1994-04-21,left,DF,181,Sweden,75
Wilfride Kanga Aka,France,1998-02-21,right,FW,185,C\u00f4te d'Ivoire,76
Marek Such\u00fd,Czech Republic,1988-03-29,right,DF,183,Czech Republic,84
Ezequiel Mu\u00f1oz,Argentina,1990-10-08,right,DF,185,Spain,78
Lisandro Ezequiel L\u00f3pez,Argentina,1989-09-01,right,DF,188,Spain,82
Orel Mangala,Belgium,1998-03-18,right,MD,180,Belgium,78
Sofyan Amrabat,Netherlands,1996-08-21,right,MD,182,Morocco,70
Yussuf Yurary Poulsen,Denmark,1994-06-15,right,FW,193,Tanzania,78
Arnaud Lusamba,France,1997-01-04,right,MD,180,Congo DR,61
Abdoul Razzagui Camara,Guinea,1990-02-20,left,MD,178,France,70
K\u00e9vin Monnet-Paquet,France,1988-08-19,right,FW,184,Rwanda,81
Na\u00efm Sliti,France,1992-07-27,right,MD,173,Tunisia,75
Darko Lazovi\u0107,Serbia,1990-09-15,right,MD,181,Serbia,74
Manuel Lazzari,Italy,1993-11-29,right,MD,174,Italy,67
Jonathan Tah,Germany,1996-02-11,right,DF,194,C\u00f4te d'Ivoire,95
Sel\u00e7uk \u0130nan,Turkey,1985-02-10,right,MD,182,Turkey,74
Chris Gunter,Wales,1989-07-21,right,DF,180,Wales,71
Aleksandar Mitrovi\u0107,Serbia,1994-09-16,right,FW,189,Serbia,82
Jackson Irvine,Australia,1993-03-07,right,MD,189,Scotland,80
Patrick Alberto Pemberton Bernard,Costa Rica,1982-04-24,right,GK,178,Costa Rica,75
Vitja Valen\u010di\u010d,Slovenia,1999-03-12,right,MD,177,Slovenia,76
Orji Okwonkwo,Nigeria,1998-01-19,right,FW,178,Nigeria,72
Matteo Darmian,Italy,1989-12-02,right,DF,182,Italy,70
Ragnar Klavan,Estonia,1985-10-30,left,DF,187,Estonia,78
Gareth Barry,England,1981-02-23,left,MD,185,England,79
Paul Dummett,England,1991-09-26,left,DF,183,Wales,77
Konstantinos Mavropanos,Greece,1997-12-11,right,DF,192,Greece,80
Harvey Barnes,England,1997-12-09,right,MD,174,England,66
C\u00e9dric Bakambu,France,1991-04-11,right,FW,182,Congo DR,74
Leonardo Gabriel Su\u00e1rez,Argentina,1996-03-03,left,MD,167,Argentina,60
Konstantinos Mitroglou,Greece,1988-03-12,left,FW,188,Germany,86
Hamari Traor\u00e9,Mali,1992-01-27,right,DF,175,Mali,73
Maxime Bernauer,France,1998-07-01,right,DF,184,France,69
Kwame Yeboah,Australia,1994-06-02,right,FW,183,Ghana,80
Toby Alderweireld,Belgium,1989-03-02,right,DF,187,Belgium,91
Jan Vertonghen,Belgium,1987-04-24,left,DF,189,Belgium,88
Christian  Dannemann Eriksen,Denmark,1992-02-14,right,MD,180,Denmark,76
Johann  Berg Gu\u00f0munds\u00adson,Iceland,1990-10-27,left,MD,186,Iceland,77
Nordin Amrabat,Netherlands,1987-03-31,right,FW,178,Morocco,77
Nacer Chadli,Belgium,1989-08-02,right,MD,187,Morocco,80
Du\u0161an Tadi\u0107,Serbia,1988-11-20,left,MD,181,Serbia,76
Alex Iwobi,Nigeria,1996-05-03,right,MD,180,England,75
Maya Yoshida,Japan,1988-08-24,right,DF,189,Japan,78
Ali Gabr,Egypt,1989-01-10,right,DF,193,Egypt,84
Onyinye Wilfred Ndidi,Nigeria,1996-12-16,right,MD,187,Nigeria,80
Ahmed Musa,Nigeria,1992-10-14,right,FW,171,Nigeria,66
Mesut \u00d6zil,Germany,1988-10-15,left,MD,180,Germany,76
Bernardo Mota Veiga de Carvalho e Silva,Portugal,1994-08-10,left,MD,173,France,64
Wilfredo Daniel Caballero,Argentina,1981-09-28,right,GK,186,Spain,80
Divock Okoth Origi,Belgium,1995-04-18,right,FW,185,Kenya,75
Philippe Coutinho Correia,Brazil,1992-06-12,right,FW,171,Brazil,68
Marcus Rashford,England,1997-10-31,right,FW,187,England,72
Andreas Christensen,Denmark,1996-04-10,right,DF,188,Denmark,78
Roque Mesa Quevedo,Spain,1989-06-07,right,MD,171,Spain,73
Danilo Luiz da Silva,Brazil,1991-07-15,right,DF,184,Brazil,78
Nicol\u00e1s Hern\u00e1n Otamendi,Argentina,1988-02-12,right,DF,183,Argentina,81
Nemanja Mati\u0107,Serbia,1988-08-01,left,MD,194,Slovakia,84
Andr\u00e9 Mart\u00edn Carrillo D\u00edaz,Peru,1991-06-14,right,MD,181,Peru,78
C\u00e9dric Ricardo Alves Soares,Germany,1991-08-31,right,DF,172,Portugal,67
Adrien Sebastian Perruchet Silva,France,1989-03-15,right,MD,175,Portugal,69
Ramadan Sobhi,Egypt,1997-01-23,right,MD,183,Egypt,72
Cheikhou Kouyat\u00e9,Senegal,1989-12-21,right,MD,193,Belgium,78
Kevin De Bruyne,Belgium,1991-06-28,right,MD,181,Belgium,68
Michy Batshuayi Tunga,Belgium,1993-10-02,right,FW,185,Congo DR,78
Jo\u00e3o M\u00e1rio Naval da Costa Eduardo ,Portugal,1993-01-19,right,MD,173,Angola,67
Sandro  Ram\u00edrez Castillo,Spain,1995-07-09,right,FW,175,Spain,72
Ederson Santana de Moraes,Brazil,1993-08-17,left,GK,187,Portugal,89
Victor Nilsson Lindel\u00f6f,Sweden,1994-07-17,right,DF,187,Sweden,81
Ruben Loftus-Cheek,England,1996-01-23,right,MD,191,Jamaica,83
Willian Borges da Silva,Brazil,1988-08-09,right,MD,175,Brazil,75
Fernando Luiz Rosa,Brazil,1985-05-04,right,MD,179,Brazil,67
Vincent Janssen,Netherlands,1994-06-15,left,FW,183,Netherlands,88
\u0141ukasz Fabia\u0144ski,Poland,1985-04-18,right,GK,190,Poland,83
Francis Coquelin,France,1991-05-13,right,MD,178,Reunion,74
Gary  Cahill,England,1985-12-19,right,DF,193,England,86
Marko Gruji\u0107,Serbia,1996-04-13,right,MD,191,Serbia,82
Romelu Lukaku Menama,Belgium,1993-05-13,left,FW,190,Congo DR,94
David de Gea Quintana,Spain,1990-11-07,right,GK,193,Spain,82
Phil Jones,England,1992-02-21,right,DF,185,England,71
Jesse Lingard,England,1992-12-15,right,MD,174,England,65
Paul Pogba,France,1993-03-15,right,MD,191,Guinea,84
Ashley  Young,England,1985-07-09,right,DF,175,Jamaica,65
Javier Hern\u00e1ndez Balc\u00e1zar,Mexico,1988-06-01,right,FW,175,Mexico,73
Daniel Nii Tackie Mensah Welbeck,England,1990-11-26,right,FW,185,Ghana,73
Jordan Brian Henderson,England,1990-06-17,right,MD,182,England,67
Jack Butland,England,1993-03-10,right,GK,196,England,95
Jos\u00e9 Miguel da Rocha Fonte,Portugal,1983-12-22,right,DF,191,Portugal,75
Martin Olsson,Sweden,1988-05-17,left,DF,178,Sweden,81
Marouane Fellaini-Bakkioui,Belgium,1987-11-22,right,MD,194,Morocco,85
Kyle Walker,England,1990-05-28,right,DF,183,England,83
Danny Rose,England,1990-07-02,left,DF,174,Jamaica,76
Vincent Kompany,Belgium,1986-04-10,right,DF,193,Congo DR,85
David Josu\u00e9 Jim\u00e9nez Silva,Spain,1986-01-08,left,MD,173,Spain,67
Sergio Leonel Ag\u00fcero del Castillo,Argentina,1988-06-02,right,FW,173,Spain,70
Fabian Delph,England,1989-11-21,left,MD,174,Guyana,60
Kasper Schmeichel,Denmark,1986-11-05,right,GK,185,Denmark,76
Simon Mignolet,Belgium,1988-03-06,right,GK,193,Belgium,87
Victor Moses,Nigeria,1990-12-12,right,MD,177,England,75
Harry  Maguire,England,1993-03-05,right,DF,188,England,79
Harry Kane,England,1993-07-28,right,FW,188,Ireland Republic,86
Kieran Trippier,England,1990-09-19,right,DF,178,England,72
Kelechi Promise Iheanacho,Nigeria,1996-03-10,left,FW,187,Nigeria,77
Rolando Aarons,Jamaica,1995-11-16,left,MD,175,England,67
Jordan Pickford,England,1994-03-07,left,GK,185,England,77
Papa Alioune N'Diaye,Senegal,1990-10-27,right,MD,180,Senegal,76
Jan Bednarek,Poland,1996-04-12,right,DF,189,Poland,77
Raheem Shaquille Sterling,Jamaica,1994-12-08,right,FW,170,England,69
Moussa Sidi Yaya Demb\u00e9l\u00e9,Belgium,1987-07-16,left,MD,185,Mali,88
Luka Milivojevi\u0107,Serbia,1991-04-07,right,MD,186,Serbia,80
Gylfi \u00de\u00f3r Sigur\u00f0sson,Iceland,1989-09-08,right,MD,186,Iceland,77
Nick Pope,England,1992-04-19,right,GK,192,England,76
Gabriel Fernando de Jesus,Brazil,1997-04-03,right,FW,175,Brazil,67
Reece Oxford,England,1998-12-16,right,DF,191,Jamaica,78
Jamie Vardy,England,1987-01-11,right,FW,178,England,76
Eric  Dier,England,1994-01-15,right,MD,188,Portugal,90
Ademola Lookman,England,1998-07-18,right,MD,174,Nigeria,78
Bamidele Alli,England,1996-04-11,right,MD,188,Nigeria,80
Antonio R\u00fcdiger,Germany,1993-03-03,right,DF,191,Sierra Leone,85
Shinji Okazaki,Japan,1986-04-16,right,FW,174,Japan,70
\u0130lkay G\u00fcndo\u011fan,Germany,1990-10-24,right,MD,180,Germany,80
Heung-Min Son,Korea Republic,1992-07-08,right,FW,183,Korea Republic,77
Mame Biram Diouf,Senegal,1987-12-16,right,FW,185,Senegal,79
Roberto Firmino Barbosa de Oliveira,Brazil,1991-10-02,right,FW,181,Brazil,76
Xherdan Shaqiri,Kosovo,1991-10-10,left,MD,169,Switzerland,72
Granit Xhaka,Switzerland,1992-09-27,left,MD,185,Albania,82
Kristoffer Nordfeldt,Sweden,1989-06-23,right,GK,190,Sweden,85
Trent Alexander-Arnold,England,1998-10-07,right,DF,175,England,69
Bojan Krk\u00edc P\u00e9rez,Spain,1990-08-28,right,FW,170,Serbia,65
Thibaut Courtois,Belgium,1992-05-11,left,GK,199,Belgium,94
Yohan Benalouane,France,1987-03-28,right,DF,185,Tunisia,79
Ignacio Monreal Eraso,Spain,1986-02-26,left,DF,179,Spain,72
Ahmed Hegazy,Egypt,1991-01-25,right,DF,193,Egypt,83
Mohamed Naser Elsayed Elneny,Egypt,1992-07-11,right,MD,180,Egypt,70
Mohamed  Salah Ghaly,Egypt,1992-06-15,left,FW,175,Egypt,72
Mathias Jattah-Njie J\u00f8rgensen,Denmark,1990-04-23,right,DF,191,Denmark,79
Jonas L\u00f6ssl,Denmark,1989-02-01,right,GK,195,Denmark,88
Isaac  Ajayi Success,Nigeria,1996-01-07,right,FW,182,Nigeria,90
Sadio Man\u00e9,Senegal,1992-04-10,right,FW,175,Senegal,75
Hugo Lloris,France,1986-12-26,left,GK,188,France,82
Dejan Lovren,Croatia,1989-07-05,right,DF,188,Croatia,84
C\u00e9sar Azpilicueta Tanco,Spain,1989-08-28,right,DF,178,Spain,75
Henri Saivet,Senegal,1990-10-26,right,MD,175,France,73
Mathieu Debuchy,France,1985-07-28,right,DF,177,France,76
Benjamin Mendy,France,1994-07-17,left,DF,185,Senegal,85
Olivier Giroud,France,1986-09-30,left,FW,192,France,88
Diafra Sakho,Senegal,1989-12-24,right,FW,184,France,79
Kevin Mirallas,Belgium,1987-10-05,right,MD,182,Spain,70
Christian Kabasele,Congo DR,1991-02-24,right,DF,187,Belgium,84
Edimilson Fernandes,Switzerland,1996-04-15,right,MD,190,Portugal,70
\u00c1lvaro Borja Morata Mart\u00edn,Spain,1992-10-23,right,FW,189,Spain,85
Pierre-Emile H\u00f8jbjerg,Denmark,1995-08-05,right,MD,185,France,84
Ben Davies,Wales,1993-04-24,left,DF,182,Wales,76
Danny Ward,Wales,1993-06-22,right,GK,191,Wales,88
Martin D\u00fabravka,Slovakia,1989-01-15,right,GK,191,Slovakia,85
Per Mertesacker,Germany,1984-09-29,right,DF,198,Germany,90
Aaron Ramsey,Wales,1990-12-26,right,MD,183,Wales,76
Jonny Evans,Northern Ireland,1988-01-02,right,DF,188,Northern Ireland,77
Patrice Evra,Senegal,1981-05-15,left,DF,174,France,75
Michael Carrick,England,1981-07-28,right,MD,188,England,74
Glen Johnson,England,1984-08-23,right,DF,182,England,70
Rob Elliot,England,1986-04-30,left,GK,188,Ireland Republic,93
Lucas Rodrigues Moura da Silva,Brazil,1992-08-13,right,FW,172,Brazil,72
Ciaran Clark,England,1989-09-26,left,DF,188,Ireland Republic,76
James Michael Collins,Wales,1983-08-23,right,DF,193,Wales,90
Ross Barkley,England,1993-12-05,right,MD,189,England,76
Costel Fane Pantilimon,Romania,1987-02-01,right,GK,203,Romania,96
Stuart Taylor,England,1980-11-28,right,GK,196,England,86
Gareth McAuley,Northern Ireland,1979-12-05,right,DF,195,Northern Ireland,89
Shane  Long,Ireland Republic,1987-01-22,right,FW,178,Ireland Republic,70
Diego Cavalieri,Brazil,1982-12-01,left,GK,191,Italy,86
Wayne  Hennessey,Wales,1987-01-24,right,GK,198,Wales,90
Stephen Ward,Ireland Republic,1985-08-20,left,DF,184,Ireland Republic,82
Andy King,England,1988-10-29,right,MD,184,Wales,79
James McClean,Northern Ireland,1989-04-22,left,MD,180,Ireland Republic,70
Alex McCarthy,England,1989-12-03,right,GK,193,England,79
Dean Whitehead,England,1982-01-12,right,MD,183,England,77
Jeff Hendrick,Ireland Republic,1992-01-31,right,MD,185,Ireland Republic,79
Lewis Dunk,England,1991-11-21,right,DF,192,England,88
Sam Vokes,England,1989-10-21,right,FW,188,Wales,90
Harry Arter,England,1989-12-28,right,MD,178,Ireland Republic,70
Liam Rosenior,England,1984-07-09,right,DF,178,Sierra Leone,77
Kevin Long,Ireland Republic,1990-08-18,right,DF,187,Ireland Republic,82
Harry Winks,England,1996-02-02,right,MD,176,England,74
Steven James Sidwell,England,1982-12-14,right,MD,178,England,80
Ashley Williams,England,1984-08-23,right,DF,182,Wales,91
Joe Allen,Wales,1990-03-14,right,MD,168,Wales,62
Leon Britton,England,1982-09-16,right,MD,167,England,65
Oleksandr Zinchenko,Ukraine,1996-12-15,left,MD,175,Ukraine,64
Daniel Bachmann,Austria,1994-07-09,right,GK,191,Austria,81
Didier  Ndong,Gabon,1994-06-17,right,MD,179,Gabon,75
Nathaniel Chalobah,Sierra Leone,1994-12-12,right,MD,185,England,80
Sebastian Pr\u00f6dl,Austria,1987-06-21,right,DF,196,Austria,97
Marko Arnautovi\u0107,Austria,1989-04-19,right,FW,192,Serbia,83
Emerson Palmieri dos Santos,Brazil,1994-08-03,left,DF,176,Italy,63
Marcos  Alonso Mendoza,Spain,1990-12-28,left,DF,188,Spain,81
Leroy San\u00e9,Germany,1996-01-11,left,MD,184,France,76
Richarlison de Andrade,Brazil,1997-05-10,right,FW,179,Brazil,71
Aleksandar Dragovi\u0107,Austria,1991-03-06,right,DF,184,Serbia,76
Moritz Bauer,Switzerland,1992-01-25,right,DF,181,Austria,73
Chris Brunt,Northern Ireland,1984-12-14,left,MD,187,Northern Ireland,85
Shane Duffy,Northern Ireland,1992-01-01,right,DF,193,Ireland Republic,76
Emre Can,Germany,1994-01-12,right,MD,184,Turkey,82
Joe Rodon,Wales,1997-10-22,right,DF,190,Wales,76
George Thomas,England,1997-03-24,right,FW,173,Wales,76
Roberto Maximiliano Pereyra,Argentina,1991-01-07,right,MD,182,Argentina,77
Sergio Germ\u00e1n Romero,Argentina,1987-02-22,right,GK,192,Italy,87
Jos\u00e9 Ramiro Funes Mori,Argentina,1991-03-05,left,DF,186,Argentina,79
Jes\u00fas G\u00e1mez Duarte,Spain,1985-04-10,right,DF,182,Spain,77
Ben Chilwell,England,1996-12-21,left,DF,178,England,77
Ben Woodburn,England,1999-10-15,right,FW,174,Wales,72
Florent Hadergjonaj,Switzerland,1994-07-31,right,DF,182,Kosovo,73
Mamadou Sakho,France,1990-02-13,left,DF,187,Senegal,83
David Ospina Ram\u00edrez,Colombia,1988-08-31,right,GK,183,Colombia,76
Idrissa Gana Gueye,Senegal,1989-09-26,right,MD,174,Senegal,72
Eden Hazard,Belgium,1991-01-07,right,FW,173,Belgium,74
Connor Roberts,Wales,1995-09-23,right,DF,175,Wales,71
Kurt Happy Zouma,France,1994-10-27,right,DF,190,Central African Republic,85
Davinson S\u00e1nchez Mina,Colombia,1996-06-12,right,DF,187,Colombia,79
Joe Gomez,England,1997-05-23,right,DF,188,Gambia,77
Mathew Ryan,Australia,1992-04-08,right,GK,184,England,82
Renato J\u00fanior Luz Sanches,Portugal,1997-08-18,right,MD,176,S\u00e3o Tom\u00e9 e Pr\u00edncipe,70
Sung-Yeung Ki,Korea Republic,1989-01-24,right,MD,186,Korea Republic,75
Steven Davis,Northern Ireland,1985-01-01,right,MD,173,Northern Ireland,72
Aaron Mooy,Australia,1990-09-15,right,MD,174,Netherlands,68
N'Golo Kant\u00e9,France,1991-03-29,right,MD,168,Mali,68
Cenk Tosun,Germany,1991-06-07,right,FW,183,Turkey,78
Craig Cathcart,Northern Ireland,1989-02-06,right,DF,188,Northern Ireland,73
Kevin Wimmer,Austria,1992-11-15,left,DF,187,Austria,85
Molla Wagu\u00e9,France,1991-02-21,right,DF,191,Mali,87
Davide Zappacosta,Italy,1992-06-11,right,DF,182,Italy,70
Wesley Hoedt,Netherlands,1994-03-06,left,DF,192,Netherlands,82
Joe Hart,England,1987-04-19,right,GK,194,England,83
Orestis Karnezis,Greece,1985-07-11,right,GK,190,Greece,84
Manolo Gabbiadini,Italy,1991-11-26,left,FW,186,Italy,81
Gerard Deulofeu L\u00e1zaro,Spain,1994-03-13,right,FW,177,Spain,73
Mario Lemina,Gabon,1993-09-01,right,MD,184,France,76
Fernando Llorente Torres,Spain,1985-02-26,right,FW,195,Spain,90
Angelo Obinze Ogbonna,Italy,1988-05-23,left,DF,191,Nigeria,86
Jos\u00e9 Holebas,Germany,1984-06-27,left,DF,185,Greece,81
Stefano Okaka Chuka,Italy,1989-08-09,right,FW,186,Nigeria,90
Miguel \u00c1ngel Britos Cabrera,Uruguay,1985-07-17,right,DF,188,Uruguay,85
Matias Ezequiel Schelotto,Argentina,1989-05-23,right,DF,187,Italy,79
Pedro  Mba Obiang Avomo,Spain,1992-03-27,right,MD,185,Equatorial Guinea,75
Kyle Taylor,England,1999-08-28,,MD,0,England,0
Maarten Stekelenburg,Netherlands,1982-09-22,right,GK,197,Netherlands,92
Zlatan Ibrahimovi\u0107,Sweden,1981-10-03,right,FW,195,Bosnia-Herzegovina,95
Aaron  Lennon,England,1987-04-16,right,MD,165,Ireland Republic,63
Peter Crouch,England,1981-01-30,right,FW,201,Ireland Republic,84
Wayne Rooney,England,1985-10-24,right,FW,176,England,83
Theo  Walcott,England,1989-03-16,right,FW,176,England,68
Petr \u010cech,Czech Republic,1982-05-20,left,GK,196,Czech Republic,90
Luis Antonio Valencia Mosquera,Ecuador,1985-08-04,right,DF,181,Ecuador,78
Francesc F\u00e0bregas i Soler,Spain,1987-05-04,right,MD,175,Spain,74
Artur Boruc,Poland,1980-02-20,right,GK,193,Poland,87
Charlie Adam,Scotland,1985-12-10,left,MD,185,Scotland,82
Younes Kaboul,France,1986-01-04,right,DF,191,Morocco,87
Uwe H\u00fcnemeier,Germany,1986-01-09,right,DF,189,Germany,84
Yohan Cabaye,France,1986-01-14,right,MD,174,France,71
Ibrahim Afellay,Netherlands,1986-04-02,right,MD,180,Morocco,76
Heurelho da Silva Gomes,Brazil,1981-02-15,right,GK,191,Brazil,91
Michel Vorm,Netherlands,1983-10-20,right,GK,184,Suriname,84
Erik Pieters,Netherlands,1988-08-07,left,DF,182,Netherlands,86
Ben Foster,England,1983-04-03,left,GK,193,England,90
Adrian Mariappa,England,1986-10-03,right,DF,178,Jamaica,81
Phil Jagielka,England,1982-08-17,right,DF,183,Poland,83
Leighton Baines,England,1984-12-11,left,DF,170,England,70
Robert Green,England,1980-01-18,right,GK,191,England,93
James  Morrison,England,1986-05-25,right,MD,180,Scotland,75
Stephen  Ireland,Ireland Republic,1986-08-22,right,MD,173,Ireland Republic,66
James Milner,England,1986-01-04,right,MD,176,England,70
Tom Heaton,England,1986-04-15,right,GK,188,England,86
Darren  Fletcher,Scotland,1984-02-01,right,MD,184,Scotland,74
Wayne Routledge,England,1985-01-07,right,MD,170,Jamaica,77
Jermain  Defoe,England,1982-10-07,right,FW,171,St. Lucia,65
Pablo Javier Zabaleta Girod,Argentina,1985-01-16,right,DF,174,Spain,74
Claudio Andr\u00e9s Bravo Mu\u00f1oz,Chile,1983-04-13,right,GK,184,Spain,80
Alexis Alejandro S\u00e1nchez S\u00e1nchez,Chile,1988-12-19,right,FW,169,Chile,62
Gn\u00e9gn\u00e9ri Yaya Tour\u00e9,C\u00f4te d'Ivoire,1983-05-13,right,MD,189,England,90
Phil Bardsley,England,1985-06-28,right,DF,180,Scotland,74
Daniel Sturridge,England,1989-09-01,left,FW,180,Jamaica,76
Tim Krul,Netherlands,1988-04-03,left,GK,188,Netherlands,84
Fraser Forster,England,1988-03-17,right,GK,201,England,93
Andy Carroll,England,1989-01-06,left,FW,193,England,79
Mark Noble,England,1987-05-08,right,MD,180,Ireland Republic,70
Eldin Jakupovic,Bosnia-Herzegovina,1984-10-02,right,GK,191,Switzerland,85
S\u00e9amus Coleman,Ireland Republic,1988-10-11,right,DF,177,Ireland Republic,77
Georginio Wijnaldum,Netherlands,1990-11-11,right,MD,175,Suriname,74
Christian Fuchs,Austria,1986-04-07,left,DF,187,Austria,89
Winston  Reid,New Zealand,1988-07-03,right,DF,190,Denmark,87
Anders Lindegaard,Denmark,1984-04-13,right,GK,193,Denmark,79
Jamie Murphy,Scotland,1989-08-28,right,MD,175,Scotland,64
Steven Defour,Belgium,1988-04-15,right,MD,175,Belgium,72
Moussa Sissoko,France,1989-08-16,right,MD,187,France,91
